Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2004-03-10 18:00:00,2.7214472502330294,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,53.114651759568986,0.7578
2004-03-10 19:00:00,2.347663975318417,1292.0,112.0,11.6745273590389,955.0,103.0,1174.0,92.0,1559.0,1038.9555009169069,13.3,54.01934391134751,0.7255
2004-03-10 20:00:00,2.0164052792771208,1159.0672647612228,88.0,9.0,939.0,131.0,1140.0,114.0,1371.7612979945754,835.5503548646634,11.9,54.0,0.7502
2004-03-10 21:00:00,2.296313014609331,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1443.4365037801947,1203.0,11.0,60.0,0.7261723756200655
2004-03-10 22:00:00,2.1462975127782764,1272.0,51.0,6.5,836.0,131.0,1064.8141629753984,116.0,1348.248091370771,1110.0,7.5962819811159115,59.6,0.7888
2004-03-10 23:00:00,1.9179033448483103,1197.0,38.0,4.7,777.9931268138887,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848
2004-03-11 00:00:00,1.9972108197775236,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,869.7822710221019,11.3,56.8,0.7603
2004-03-11 01:00:00,1.525611415215096,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702
2004-03-11 02:00:00,1.116560153840148,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648
2004-03-11 03:00:00,-0.33083220267632996,1010.0,19.0,1.7,561.0,-81.96157503472435,1705.0,11.098154809515549,1235.0,501.0,10.3,60.2,0.9826813397832881
2004-03-11 04:00:00,0.8198683413451546,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465
2004-03-11 05:00:00,0.1685843889574321,1066.0,8.0,1.1,633.1879774722411,16.0,1426.6775654140383,28.0,1182.0,850.7894587620603,11.0,56.2,0.7366
2004-03-11 06:00:00,0.20500713189852426,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,871.3313690527265,472.0,10.5,58.1,0.7353
